TOTAL.VALUE,LOT.SQFT,YR.BUILT,GROSS.AREA,LIVING.AREA,FLOORS,ROOMS,BEDROOMS,FULL.BATH,HALF.BATH,KITCHEN,FIREPLACE,REMODEL,predicted
NA,9965,1880,2436,1352,2,6,3,1,1,1,0,Recent,392.1610235
NA,6590,1945,3108,1976,2,10,4,2,1,1,0,Recent,446.8703689
NA,7500,1890,2294,1371,2,8,4,1,1,1,0,Recent,388.0497391
NA,13773,1957,5032,2608,1,9,5,1,1,1,1,Recent,568.1644152
NA,5000,1910,2370,1438,2,7,3,2,0,1,0,Recent,377.8821602
NA,5000,1954,3220,1916,2,7,3,1,1,1,0,Recent,420.9613402
NA,10000,1950,2208,1200,1,6,3,1,0,1,0,Recent,346.4595277
NA,6835,1958,2582,1092,1,5,3,1,0,1,1,Recent,344.1785096
NA,5093,1900,4818,2992,2,8,4,2,0,1,0,Recent,535.0376813
NA,5000,1960,2624,1485,1.5,6,3,2,0,1,1,Recent,355.5193364
NA,6768,1958,2844,1460,1.5,6,3,2,0,1,1,Recent,372.8346819
NA,5000,1889,2196,1290,2,6,3,1,0,1,0,Recent,358.6279709
NA,12288,2004,4616,2378,2,9,4,2,1,1,1,Recent,610.809793
NA,5000,1954,2536,1272,1.5,6,3,1,1,1,1,Recent,346.399861
NA,5000,1940,2129,864,1,7,3,2,0,1,0,Recent,316.6810642
NA,10000,1950,2099,1445,1,7,3,1,1,1,1,Recent,367.293298
NA,5000,1910,2408,1470,2,7,3,1,0,1,0,Recent,368.148169
NA,9001,1875,2840,1632,2,7,3,1,0,1,0,Recent,398.4046948
NA,4450,1920,1400,1232,2,7,3,1,0,1,0,Recent,307.7672627
NA,5000,1889,2560,1302,1.5,6,2,1,0,1,0,Recent,333.8956396
